"naics_industry","province","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Quebec",37.7,35.5,33.3,30.8,29,34.3,38.7,42,37.9,37.8
"Forestry and logging and support activities for forestry","Quebec",13.6,15.7,12,9.5,8.2,11.3,14.1,14.7,13.6,14.2
"Fishing, hunting and trapping","Quebec",1.8,NA,NA,NA,NA,1.6,NA,NA,NA,NA
"Mining, quarrying, and oil and gas extraction 9","Quebec",22.2,18.8,20.3,20.8,20.2,21.4,23.6,26.6,23.1,22.6
"Utilities","Quebec",28.5,27.3,27.4,26.8,26.6,24,25.8,23,21.7,27.2
"Construction","Quebec",250.2,270.4,253.7,237.4,238.5,253.1,249.1,264.7,263.8,284.7
"Manufacturing","Quebec",503.7,491.1,476.2,480.9,483.9,495.8,502,498.9,472.7,487.2
"Durables","Quebec",284.4,275.6,272.4,278.7,280.1,277.9,287.3,293,276.4,285
"Non-durables","Quebec",219.3,215.5,203.8,202.3,203.8,217.9,214.7,205.8,196.3,202.2
"Services-producing sector 11","Quebec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wholesale and retail trade","Quebec",636.9,655.1,648.6,661.2,663.3,668.1,681.8,681.1,653.8,659
"Wholesale trade","Quebec",153.1,141,134.2,141.9,149.8,162.7,158.7,142.2,141.1,153.6
"Retail trade","Quebec",483.9,514.1,514.4,519.3,513.5,505.5,523.2,538.9,512.8,505.5
"Transportation and warehousing","Quebec",175.8,177.9,185,198.7,199.8,205.7,209.4,235.1,225.5,221.5
"Finance, insurance, real estate, rental and leasing","Quebec",229.7,226,228.3,221.2,219.5,233,237.8,239.5,242.2,281.4
"Finance and insurance","Quebec",169.7,171.6,166.7,174.8,160.7,178.3,177.1,181.8,190.9,217.8
"Real estate and rental and leasing","Quebec",59.9,54.4,61.7,46.4,58.8,54.7,60.6,57.7,51.2,63.6
"Professional, scientific and technical services","Quebec",295.3,305.4,301.5,311.1,299.7,313.6,325.7,347.1,342.8,363.4
"Business, building and other support services 12","Quebec",152.6,153.1,152.7,163.4,178.8,186.2,192.1,179.7,159.2,159
"Educational services","Quebec",278.7,275.8,268,275.2,279.2,283.5,281.2,288,306.7,354.7
"Health care and social assistance","Quebec",528.8,550.8,561.3,563.3,557.8,560.1,582.8,604.4,580,580.5
"Information, culture and recreation","Quebec",175.9,176.6,185.2,172,178.2,176.8,178.7,180.3,157,156.1
"Accommodation and food services","Quebec",258.2,252.5,266,277.7,280.8,279.3,275.6,260,186.6,180.6
"Other services (except public administration)","Quebec",183.9,182.1,175.5,153.1,163.8,174.3,175,179.5,152.6,159.1
"Public administration","Quebec",221.9,216.6,214.7,224.8,219.9,233.7,242.9,252.6,240.2,263.8
"Total, all industries 6","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goods-producing sector 7","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agriculture 8","Ontario",87,83.9,80,74.6,75.8,68.5,70.8,74,68,66.4
"Forestry, fishing, mining, quarrying, oil and gas 9 10","Ontario",34.4,35,31.6,40.5,32.6,31.7,32,35,35,34.5
"Forestry and logging and support activities for forestry","Ontario",7.9,5.6,4.9,7.1,6.1,4.9,5,4.7,7.5,5.6
"Fishing, hunting and trapping","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mining, quarrying, and oil and gas extraction 9","Ontario",25.7,28.5,26.4,32.3,26.5,26.4,26.8,30,26.7,28.3
"Utilities","Ontario",51,51.6,50.4,49.8,51.6,48.1,52.2,51.4,48.9,51.4
"Construction","Ontario",464.1,470.3,468.6,476.8,496,511.7,528.1,544.2,531,538.7
"Manufacturing","Ontario",788.2,769.6,763.1,765.1,784.1,797.6,793.7,770,732.6,775.2
"Durables","Ontario",504.3,491.9,484.6,484.5,508.9,524.4,511.4,483.4,458.8,488
"Non-durables","Ontario",283.9,277.6,278.5,280.6,275.2,273.2,282.2,286.6,273.8,287.2
"Services-producing sector 11","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wholesale and retail trade","Ontario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
