Geography,Sector,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
New Brunswick,Households: Electricity and other fuels,2077,2000,2205,2501,1881,1436,1282,1017,922,826
Quebec,"Total, industries and households",89602,89319,87815,90656,88846,90941,91681,92898,81363,84473
Quebec,"Total, industries",63414,62316,61144,64093,62838,64729,65459,66491,59845,62140
Quebec,Animal food manufacturing  [BS31110],62,79,174,80,106,75,102,84,76,70
Quebec,Sugar and confectionery product manufacturing  [BS31130],91,95,138,282,148,258,122,113,117,108
Quebec,Fruit and vegetable preserving and specialty food manufacturing  [BS31140],68,63,66,52,58,57,61,78,94,86
Quebec,Dairy product manufacturing  [BS31150],169,285,159,148,154,156,141,187,187,207
Quebec,Meat product manufacturing  [BS31160],177,204,167,194,199,239,239,255,231,262
Quebec,Seafood product preparation and packaging  [BS31170],16,7,5,7,7,8,5,5,3,4
Quebec,Miscellaneous food manufacturing  [BS311A0],569,693,450,456,496,445,501,423,356,408
Quebec,Soft drink and ice manufacturing  [BS31211],40,31,34,37,44,42,35,32,22,25
Quebec,Breweries  [BS31212],113,139,130,125,94,85,86,93,105,119
Quebec,Wineries and distilleries  [BS3121A],20,68,49,34,49,53,56,62,74,84
Quebec,Tobacco manufacturing  [BS31220],10,11,17,21,18,18,9,12,10,11
Quebec,Textile and textile product mills  [BS31A00],89,140,93,49,64,54,53,68,65,74
Quebec,Clothing and leather and allied product manufacturing  [BS31B00],30,40,16,21,17,19,18,17,13,14
Quebec,Wood product manufacturing  [BS32100] 12,2191,1680,1502,2797,2435,2053,2035,2290,1903,2216
Quebec,"Pulp, paper and paperboard mills  [BS32210] 12",6406,6805,6982,7286,7513,7306,7629,7452,6460,6057
Quebec,Converted paper product manufacturing  [BS32220],245,221,181,222,159,171,182,178,241,238
Quebec,Printing and related support activities  [BS32300],59,59,64,29,47,48,33,41,27,30
Quebec,Petroleum and coal product manufacturing  [BS32400],2428,2247,2266,2417,2150,1938,2334,2225,2227,2227
Quebec,Basic chemical manufacturing  [BS32510],701,702,1414,1325,516,681,741,774,821,811
Quebec,"Pesticide, fertilizer and other agricultural chemical manufacturing  [BS32530]",65,45,50,48,51,40,33,31,26,27
Quebec,Pharmaceutical and medicine manufacturing  [BS32540],54,44,42,55,61,90,79,64,53,48
Quebec,Miscellaneous chemical product manufacturing  [BS325C0] 13,77,93,94,120,121,143,182,160,134,132
Quebec,Plastic product manufacturing  [BS32610],170,279,154,182,183,189,150,170,153,174
Quebec,Rubber product manufacturing  [BS32620],64,60,66,62,74,97,74,79,59,67
Quebec,Non-metallic mineral product manufacturing (except cement and concrete products)  [BS327A0],1065,935,985,781,745,772,554,558,478,706
Quebec,Cement and concrete product manufacturing  [BS32730],2417,2207,2127,2198,2312,2948,2861,3615,3196,3520
Quebec,Primary metal manufacturing  [BS33100],7292,7642,8194,8429,8377,8522,7744,7822,7376,7659
Quebec,Fabricated metal product manufacturing  [BS33200],368,355,286,251,265,248,282,343,301,369
Quebec,Machinery manufacturing  [BS33300],109,107,91,80,98,112,93,112,93,105
Quebec,Computer and peripheral equipment manufacturing  [BS33410],1,1,1,1,1,1,1,1,1,1
Quebec,Electronic product manufacturing  [BS334B0],30,26,29,25,32,26,24,28,24,27
Quebec,Electrical  equipment and component manufacturing  [BS335A0],86,76,55,34,36,33,25,30,23,26
Quebec,Household appliance manufacturing  [BS33520],10,13,2,1,1,1,1,2,3,4
Quebec,Motor vehicle manufacturing  [BS33610],24,27,40,54,21,10,10,21,12,14
